id;latitudeBands;region
1;49;
2;48;
3;47;
4;46;am
5;45;am
6;44;
7;43;am
8;42;
9;41;
10;40;
11;39;
12;38;
13;37;
14;36;
15;35;
16;34;
17;33;
18;32;
19;31;
20;30;
21;29;
22;28;
23;27;
24;26;
25;25;
26;24;
27;23;
28;22;
29;21;
30;20;
31;19;
32;18;
33;17;
34;16;
35;15;
36;14;
37;13;
38;12;
39;11;
40;10;
41;9;
42;8;
43;7;
44;6;
45;5;
46;4;
47;3;
48;2;
49;1;
50;49;
51;48;
52;47;
53;46;
54;45;am
55;44;
56;43;
57;42;
58;41;
59;40;
60;39;
61;38;
62;37;
63;36;
64;35;
65;34;am
66;33;am
67;32;
68;31;
69;30;
70;29;
71;28;
72;27;
73;26;
74;25;
75;24;
76;23;
77;22;
78;21;
79;20;
80;19;
81;18;
82;17;
83;16;
84;15;
85;14;
86;13;
87;12;
88;11;
89;10;
90;9;
91;8;
92;7;
93;6;
94;5;
95;4;
96;3;
97;2;
98;1;
99;49;
100;48;
101;47;
102;46;
103;45;
104;44;
105;43;
106;42;
107;41;
108;40;
109;39;
110;38;
111;37;
112;36;
113;35;
114;34;am
115;33;
116;32;
117;31;
118;30;
119;29;
120;28;
121;27;
122;26;
123;25;
124;24;
125;23;
126;22;
127;21;
128;20;
129;19;
130;18;
131;17;
132;16;
133;15;
134;14;
135;13;
136;12;
137;11;
138;10;
139;9;
140;8;
141;7;
142;6;
143;5;
144;4;
145;3;
146;2;
147;1;
148;49;
149;48;
150;47;
151;46;
152;45;
153;44;
154;43;
155;42;
156;41;
157;40;
158;39;
159;38;
160;37;
161;36;
162;35;
163;34;am
164;33;
165;32;
166;31;
167;30;
168;29;
169;28;
170;27;
171;26;
172;25;
173;24;
174;23;
175;22;
176;21;
177;20;
178;19;
179;18;
180;17;
181;16;
182;15;
183;14;
184;13;
185;12;
186;11;
187;10;
188;9;
189;8;
190;7;
191;6;
192;5;
193;4;
194;3;
195;2;
196;1;
197;49;
198;48;
199;47;
200;46;
201;45;
202;44;
203;43;am
204;42;am
205;41;
206;40;
207;39;
208;38;
209;37;
210;36;
211;35;
212;34;am
213;33;
214;32;
215;31;
216;30;
217;29;
218;28;
219;27;
220;26;
221;25;
222;24;
223;23;
224;22;
225;21;
226;20;
227;19;
228;18;
229;17;
230;16;
231;15;
232;14;
233;13;
234;12;
235;11;
236;10;
237;9;
238;8;
239;7;
240;6;
241;5;
242;4;
243;3;
244;2;
245;1;
246;49;
247;48;
248;47;
249;46;
250;45;
251;44;
252;43;am
253;42;
254;41;
255;40;
256;39;
257;38;
258;37;
259;36;
260;35;
261;34;am
262;33;
263;32;
264;31;
265;30;
266;29;
267;28;
268;27;
269;26;
270;25;
271;24;
272;23;
273;22;
274;21;
275;20;
276;19;
277;18;
278;17;
279;16;
280;15;
281;14;
282;13;
283;12;
284;11;
285;10;
286;9;
287;8;
288;7;
289;6;
290;5;
291;4;
292;3;
293;2;
294;1;
295;49;
296;48;
297;47;
298;46;
299;45;
300;44;
301;43;am
302;42;am
303;41;
304;40;am
305;39;
306;38;
307;37;
308;36;
309;35;
310;34;am
311;33;
312;32;
313;31;
314;30;
315;29;
316;28;
317;27;
318;26;
319;25;
320;24;
321;23;
322;22;
323;21;
324;20;
325;19;
326;18;
327;17;
328;16;
329;15;
330;14;
331;13;
332;12;
333;11;
334;10;
335;9;
336;8;
337;7;
338;6;
339;5;
340;4;
341;3;
342;2;
343;1;
344;49;
345;48;
346;47;
347;46;
348;45;
349;44;
350;43;am
351;42;am
352;41;
353;40;am
354;39;
355;38;
356;37;
357;36;
358;35;
359;34;am
360;33;
361;32;
362;31;
363;30;
364;29;
365;28;
366;27;
367;26;
368;25;
369;24;
370;23;
371;22;
372;21;
373;20;
374;19;
375;18;
376;17;
377;16;
378;15;
379;14;
380;13;
381;12;
382;11;
383;10;
384;9;
385;8;
386;7;
387;6;
388;5;
389;4;
390;3;
391;2;
392;1;
393;49;
394;48;
395;47;
396;46;
397;45;
398;44;
399;43;am
400;42;am
401;41;
402;40;
403;39;
404;38;
405;37;
406;36;
407;35;
408;34;
409;33;
410;32;
411;31;
412;30;
413;29;
414;28;
415;27;
416;26;
417;25;
418;24;
419;23;
420;22;
421;21;
422;20;
423;19;
424;18;
425;17;
426;16;
427;15;
428;14;
429;13;
430;12;
431;11;
432;10;
433;9;
434;8;
435;7;
436;6;
437;5;
